,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
低档,1.0,0.0,0.0
摆好,0.0,1.0,0.0
鲁莽,1.0,0.0,0.0
知书达理,0.0,1.0,0.0
声色俱厉,1.0,0.0,0.0
天字第一号,0.0,1.0,0.0
吆五喝六,1.0,0.0,0.0
忧心忡忡,1.0,0.0,0.0
高雅简朴,0.0,1.0,0.0
怡和,0.0,1.0,0.0
怯弱,1.0,0.0,0.0
并茂,0.0,1.0,0.0
无微不至,0.0,1.0,0.0
逼真,0.0,1.0,0.0
锬,0.0,1.0,0.0
知冷着热,0.0,1.0,0.0
谦顺,0.0,1.0,0.0
老奸巨猾,1.0,0.0,0.0
盘陁,1.0,0.0,0.0
赶尽杀绝,1.0,0.0,0.0
呆若木鸡,1.0,0.0,0.0
扶疏,0.0,1.0,0.0
不显眼,1.0,0.0,0.0
鞭挞,1.0,0.0,0.0
老到,0.0,1.0,0.0
决定,0.0,1.0,0.0
灯红酒绿,1.0,0.0,0.0
凄厉,1.0,0.0,0.0
阔绰,1.0,0.0,0.0
忌,1.0,1.0,0.0
礼赞,0.0,1.0,0.0
尽可能,0.0,1.0,0.0
来路不明,1.0,0.0,0.0
失神,1.0,0.0,0.0
戆,1.0,0.0,0.0
不偏不倚,0.0,1.0,0.0
路人皆知,0.0,1.0,0.0
悬赏,0.0,1.0,0.0
有序,0.0,1.0,0.0
尖,0.0,1.0,0.0
爽朗,0.0,1.0,0.0
枭,0.0,1.0,0.0
诚心,0.0,1.0,0.0
清亮,0.0,1.0,0.0
老奸巨滑,1.0,0.0,0.0
赞服,0.0,1.0,0.0
白云苍狗,1.0,0.0,0.0
直呆呆,1.0,0.0,0.0
叫嚣,1.0,0.0,0.0
不武断,0.0,1.0,0.0
心口如一,0.0,1.0,0.0
老赶,1.0,0.0,0.0
富有,0.0,1.0,0.0
旁敲侧击,1.0,0.0,0.0
狂,1.0,0.0,0.0
污浊,1.0,0.0,0.0
赏识,0.0,1.0,0.0
精练,0.0,1.0,0.0
偏听偏信,1.0,0.0,0.0
忧虑,1.0,0.0,0.0
