,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
澹,0.0,1.0,0.0
阙略,1.0,0.0,0.0
梦寐以求,0.0,1.0,0.0
入神,0.0,1.0,0.0
娉,0.0,1.0,0.0
虚虚实实,1.0,0.0,0.0
佳,0.0,1.0,0.0
奚落,1.0,0.0,0.0
非人,1.0,0.0,0.0
说不,1.0,0.0,0.0
原始,1.0,0.0,0.0
投缘,0.0,1.0,0.0
云谲波诡,1.0,0.0,0.0
令人生厌,1.0,0.0,0.0
财大气粗,0.0,1.0,0.0
娟秀,0.0,1.0,0.0
捎带,0.0,1.0,0.0
大吃一惊,1.0,0.0,0.0
蠢笨,1.0,0.0,0.0
主观,1.0,0.0,0.0
深奥,0.0,1.0,0.0
俭,0.0,1.0,0.0
挑战性,0.0,1.0,0.0
害臊,1.0,0.0,0.0
现实,0.0,1.0,0.0
同病相怜,1.0,0.0,0.0
景气,0.0,1.0,0.0
漫不经意,1.0,0.0,0.0
深以为异,1.0,0.0,0.0
上等,0.0,1.0,0.0
确有其事,0.0,1.0,0.0
默许,0.0,1.0,0.0
歹毒,1.0,0.0,0.0
迎接,0.0,1.0,0.0
通透,0.0,1.0,0.0
淡雅,0.0,1.0,0.0
有见识,0.0,1.0,0.0
又红又专,0.0,1.0,0.0
非婚生,1.0,0.0,0.0
不对茬儿,1.0,0.0,0.0
架空,1.0,0.0,0.0
骋怀,0.0,1.0,0.0
盼望,0.0,1.0,0.0
特异,0.0,1.0,0.0
水火不相容,1.0,0.0,0.0
毒,1.0,0.0,0.0
糊糊涂涂,1.0,0.0,0.0
恨,1.0,0.0,0.0
神气,0.0,1.0,0.0
不能容忍,1.0,0.0,0.0
挑逗性,1.0,0.0,0.0
龃,1.0,0.0,0.0
偏颇,1.0,0.0,0.0
如饮醍醐,0.0,1.0,0.0
圆润,0.0,1.0,0.0
舒松,0.0,1.0,0.0
悄声,0.0,1.0,0.0
炸,1.0,0.0,0.0
谨饬,0.0,1.0,0.0
严厉,1.0,0.0,0.0
极其流行,0.0,1.0,0.0
难相处,1.0,0.0,0.0
好说话儿,0.0,1.0,0.0
皮毛,1.0,0.0,0.0
多变,1.0,0.0,0.0
红眼,1.0,0.0,0.0
分文不取,0.0,1.0,0.0
黑,1.0,0.0,0.0
娇憨,1.0,0.0,0.0
无补于事,1.0,0.0,0.0
盖帽,0.0,1.0,0.0
端正,0.0,1.0,0.0
奸佞,1.0,0.0,0.0
烫手,1.0,0.0,0.0
上镜,0.0,1.0,0.0
平缓,0.0,1.0,0.0
嘴紧,0.0,1.0,0.0
锃亮,0.0,1.0,0.0
狎,1.0,0.0,0.0
廉洁,0.0,1.0,0.0
承应,0.0,1.0,0.0
赫,0.0,1.0,0.0
心如刀割,1.0,0.0,0.0
自觉自愿,0.0,1.0,0.0
猥贱,1.0,0.0,0.0
凶蛮,1.0,0.0,0.0
奖赏,0.0,1.0,0.0
私密,1.0,0.0,0.0
千篇一律,1.0,0.0,0.0
孤孤单单,1.0,0.0,0.0
喝叱,1.0,0.0,0.0
火,1.0,1.0,0.0
绚丽,0.0,1.0,0.0
软弱无力,1.0,0.0,0.0
伧,1.0,0.0,0.0
透亮,0.0,1.0,0.0
天南海北,1.0,0.0,0.0
讨,1.0,0.0,0.0
感激不尽,0.0,1.0,0.0
僻,1.0,0.0,0.0
浮躁,1.0,0.0,0.0
典型,0.0,1.0,0.0
亮堂,0.0,1.0,0.0
有威信,0.0,1.0,0.0
双稳态,0.0,1.0,0.0
一脸稚气,1.0,0.0,0.0
相当,0.0,1.0,0.0
不才,1.0,0.0,0.0
心如死灰,1.0,0.0,0.0
蓬散,1.0,0.0,0.0
生疑,1.0,0.0,0.0
看不顺眼,1.0,0.0,0.0
瞢,1.0,0.0,0.0
坚如磐石,0.0,1.0,0.0
朴茂,0.0,1.0,0.0
不关痛痒,1.0,0.0,0.0
不大重要,1.0,0.0,0.0
不划算,1.0,0.0,0.0
猴儿急,1.0,0.0,0.0
保险,0.0,1.0,0.0
怨恨,1.0,0.0,0.0
悠谬,1.0,0.0,0.0
孤寡,1.0,0.0,0.0
机巧,0.0,1.0,0.0
容许,0.0,1.0,0.0
纯粹,0.0,1.0,0.0
滂,1.0,0.0,0.0
红火,0.0,1.0,0.0
惘,1.0,0.0,0.0
涩苦,1.0,0.0,0.0
恶毒,1.0,0.0,0.0
困难重重,1.0,0.0,0.0
在心,0.0,1.0,0.0
精当,0.0,1.0,0.0
祥,0.0,1.0,0.0
徘徊,1.0,0.0,0.0
残缺,1.0,0.0,0.0
贫困,1.0,0.0,0.0
相安无事,0.0,1.0,0.0
晰,0.0,1.0,0.0
泱泱,0.0,1.0,0.0
空洞洞,1.0,0.0,0.0
浮浅,1.0,0.0,0.0
示喜,0.0,1.0,0.0
软绵绵,1.0,0.0,0.0
过细,0.0,1.0,0.0
轻快,0.0,1.0,0.0
目光短浅,1.0,0.0,0.0
欢,0.0,1.0,0.0
愚笨,1.0,0.0,0.0
昏黑,1.0,0.0,0.0
别有情趣,0.0,1.0,0.0
婵媛,0.0,1.0,0.0
朴实,0.0,1.0,0.0
直勾勾,1.0,0.0,0.0
难驯服,1.0,0.0,0.0
不重要,1.0,0.0,0.0
恐惧,1.0,0.0,0.0
不中用,1.0,0.0,0.0
笨重,1.0,0.0,0.0
闪闪,0.0,1.0,0.0
轻而易举,0.0,1.0,0.0
省俭,0.0,1.0,0.0
乖巧,0.0,1.0,0.0
卖不掉,1.0,0.0,0.0
俏美,0.0,1.0,0.0
固定不变,1.0,0.0,0.0
清苦,1.0,0.0,0.0
隐身,1.0,0.0,0.0
娓娓动听,0.0,1.0,0.0
做作,1.0,0.0,0.0
精到,0.0,1.0,0.0
妥切,0.0,1.0,0.0
前所未闻,0.0,1.0,0.0
相安,0.0,1.0,0.0
情意恳挚,0.0,1.0,0.0
憨厚,0.0,1.0,0.0
老虎屁股摸不得,1.0,0.0,0.0
丰实,0.0,1.0,0.0
呆愣愣,1.0,0.0,0.0
不成话,1.0,0.0,0.0
渎,1.0,0.0,0.0
豪放,0.0,1.0,0.0
浑头浑脑,1.0,0.0,0.0
甘之如饴,0.0,1.0,0.0
超群绝伦,0.0,1.0,0.0
茌,0.0,1.0,0.0
坚忍不拔,0.0,1.0,0.0
废物,1.0,0.0,0.0
含糊其辞,1.0,0.0,0.0
干干净净,0.0,1.0,0.0
有勇气,0.0,1.0,0.0
暗昧,1.0,0.0,0.0
简要,0.0,1.0,0.0
恚愤,1.0,0.0,0.0
不问是非情由,1.0,0.0,0.0
光滑滑,0.0,1.0,0.0
恬适,0.0,1.0,0.0
含混,1.0,0.0,0.0
不清楚,1.0,0.0,0.0
恶浊,1.0,0.0,0.0
推尊,0.0,1.0,0.0
落落寡合,1.0,0.0,0.0
叱骂,1.0,0.0,0.0
娟娟,0.0,1.0,0.0
最差,1.0,0.0,0.0
幽幽,1.0,0.0,0.0
人身攻击,1.0,0.0,0.0
光灿,0.0,1.0,0.0
尽心尽力,0.0,1.0,0.0
质量好,0.0,1.0,0.0
奉,0.0,1.0,0.0
有教益,0.0,1.0,0.0
不良,1.0,0.0,0.0
高难度,1.0,0.0,0.0
停妥,0.0,1.0,0.0
肆无忌惮,1.0,0.0,0.0
赤地千里,1.0,0.0,0.0
恶狠狠,1.0,0.0,0.0
有恃无恐,1.0,0.0,0.0
谦卑,0.0,1.0,0.0
精良,0.0,1.0,0.0
犟,1.0,0.0,0.0
干净利落,0.0,1.0,0.0
龙飞凤舞,0.0,1.0,0.0
锦簇花团,0.0,1.0,0.0
无可争议,0.0,1.0,0.0
慨,0.0,1.0,0.0
高价,1.0,0.0,0.0
乖,0.0,1.0,0.0
感恩戴德,0.0,1.0,0.0
不郎不秀,1.0,0.0,0.0
粼粼,0.0,1.0,0.0
心狠,1.0,0.0,0.0
妩媚,0.0,1.0,0.0
水莹莹,0.0,1.0,0.0
公平正直,0.0,1.0,0.0
雅致,0.0,1.0,0.0
灰沉沉,1.0,0.0,0.0
粗线条,1.0,0.0,0.0
雪上加霜,1.0,0.0,0.0
死沉沉,1.0,0.0,0.0
聪敏,0.0,1.0,0.0
蛮横无理,1.0,0.0,0.0
等内,0.0,1.0,0.0
完好如新,0.0,1.0,0.0
善,0.0,1.0,0.0
敞开儿,0.0,1.0,0.0
叹,0.0,1.0,0.0
忍让,1.0,0.0,0.0
仓皇失措,1.0,0.0,0.0
抱憾,1.0,0.0,0.0
和颜悦色,0.0,1.0,0.0
毅然,0.0,1.0,0.0
闷气,1.0,0.0,0.0
着边,0.0,1.0,0.0
得力,0.0,1.0,0.0
教训,1.0,0.0,0.0
牵念,1.0,0.0,0.0
好玩儿,0.0,1.0,0.0
食而不知其味,1.0,0.0,0.0
下三滥,1.0,0.0,0.0
索,1.0,0.0,0.0
愀,1.0,1.0,0.0
无所不知,0.0,1.0,0.0
味同嚼蜡,1.0,0.0,0.0
顽劣,1.0,0.0,0.0
轻轻地,0.0,1.0,0.0
立项,0.0,1.0,0.0
次,1.0,0.0,0.0
惭,1.0,0.0,0.0
没边儿,1.0,0.0,0.0
难以沟通,1.0,0.0,0.0
魂不附体,1.0,0.0,0.0
引人注意,0.0,1.0,0.0
难看,1.0,0.0,0.0
不力,1.0,0.0,0.0
单调,1.0,0.0,0.0
浑浊,1.0,0.0,0.0
奉迎,0.0,1.0,0.0
无害,0.0,1.0,0.0
竭诚,0.0,1.0,0.0
不规则,1.0,0.0,0.0
专注,0.0,1.0,0.0
出神入化,0.0,1.0,0.0
绝情,1.0,0.0,0.0
恼,1.0,0.0,0.0
毫不犹豫,0.0,1.0,0.0
投机,1.0,1.0,0.0
妖里妖气,1.0,0.0,0.0
老于世故,0.0,1.0,0.0
弱,1.0,0.0,0.0
声名大噪,0.0,1.0,0.0
当面,0.0,1.0,0.0
说一不二,0.0,1.0,0.0
同意,0.0,1.0,0.0
杀人不眨眼,1.0,0.0,0.0
俊,0.0,1.0,0.0
进退两难,1.0,0.0,0.0
溺爱,0.0,1.0,0.0
博学多闻,0.0,1.0,0.0
周到,0.0,1.0,0.0
调谐,0.0,1.0,0.0
贵重,0.0,1.0,0.0
道貌岸然,1.0,0.0,0.0
详详细细,0.0,1.0,0.0
衰颓,1.0,0.0,0.0
眼尖,0.0,1.0,0.0
气贯长虹,0.0,1.0,0.0
合法,0.0,1.0,0.0
明慧,0.0,1.0,0.0
面如土色,1.0,0.0,0.0
凶悍,1.0,0.0,0.0
晦暗,1.0,0.0,0.0
板滞,1.0,0.0,0.0
欢乐,0.0,1.0,0.0
恋恋不舍,0.0,1.0,0.0
恳挚,0.0,1.0,0.0
焦虑,1.0,0.0,0.0
原宥,1.0,0.0,0.0
抓瞎,1.0,0.0,0.0
犹豫不前,1.0,0.0,0.0
夺目,0.0,1.0,0.0
毫发无损,0.0,1.0,0.0
畏怯,1.0,0.0,0.0
詟,1.0,0.0,0.0
荒诞派,1.0,0.0,0.0
蔚,0.0,1.0,0.0
操切,1.0,0.0,0.0
净,0.0,1.0,0.0
有品味,0.0,1.0,0.0
六亲不认,1.0,0.0,0.0
酬谢,0.0,1.0,0.0
暗弱,1.0,0.0,0.0
偷偷,1.0,0.0,0.0
刻意,0.0,1.0,0.0
贫穷,1.0,0.0,0.0
烦难,1.0,0.0,0.0
合情理,0.0,1.0,0.0
卓荦,0.0,1.0,0.0
幽冥,1.0,0.0,0.0
盯住,0.0,1.0,0.0
不限,0.0,1.0,0.0
历历可数,0.0,1.0,0.0
愤世嫉俗,1.0,0.0,0.0
独具特色,0.0,1.0,0.0
欠周到,1.0,0.0,0.0
不俗,0.0,1.0,0.0
不善,1.0,0.0,0.0
灵,0.0,1.0,0.0
黑灯瞎火,1.0,0.0,0.0
穷奢极侈,1.0,0.0,0.0
高级,0.0,1.0,0.0
经心,0.0,1.0,0.0
滢,0.0,1.0,0.0
混沌,1.0,0.0,0.0
沉滞,1.0,0.0,0.0
恬静,0.0,1.0,0.0
惊人,1.0,0.0,0.0
无根据,1.0,0.0,0.0
示不满,1.0,0.0,0.0
极度悲伤,1.0,0.0,0.0
干脆,0.0,1.0,0.0
竹篮子打水,1.0,0.0,0.0
缜,0.0,1.0,0.0
非生产性,1.0,0.0,0.0
巧妙,0.0,1.0,0.0
度量大,0.0,1.0,0.0
挂虑,1.0,0.0,0.0
娇羞,1.0,0.0,0.0
决定性,0.0,1.0,0.0
震悚,1.0,0.0,0.0
冷冷清清,1.0,0.0,0.0
倍儿棒,0.0,1.0,0.0
不祥,1.0,0.0,0.0
不甘心,1.0,0.0,0.0
心有余悸,1.0,0.0,0.0
从头至尾,0.0,1.0,0.0
料事如神,0.0,1.0,0.0
实则,0.0,1.0,0.0
心花怒放,0.0,1.0,0.0
乏,1.0,0.0,0.0
海底捞月,1.0,0.0,0.0
潇,0.0,1.0,0.0
眼明手快,0.0,1.0,0.0
嚣张,1.0,0.0,0.0
恼怒,1.0,0.0,0.0
经久耐用,0.0,1.0,0.0
不卑不亢,0.0,1.0,0.0
欣喜若狂,0.0,1.0,0.0
威风凛凛,0.0,1.0,0.0
腥,1.0,0.0,0.0
廉明,0.0,1.0,0.0
孑,1.0,0.0,0.0
心毒,1.0,0.0,0.0
说好话,0.0,1.0,0.0
斥责,1.0,0.0,0.0
有名气,0.0,1.0,0.0
歧视,1.0,0.0,0.0
披沥,0.0,1.0,0.0
眉清目秀,0.0,1.0,0.0
剡,0.0,1.0,0.0
病病歪歪,1.0,0.0,0.0
成事不足，败事有余,1.0,0.0,0.0
聒噪,1.0,0.0,0.0
如泣如诉,1.0,0.0,0.0
谈何容易,1.0,0.0,0.0
齐楚,0.0,1.0,0.0
如临深渊,1.0,0.0,0.0
猖狂,1.0,0.0,0.0
了当,0.0,1.0,0.0
切齿痛恨,1.0,0.0,0.0
可叹,1.0,0.0,0.0
锖,0.0,1.0,0.0
在乎,1.0,1.0,0.0
不合适,1.0,0.0,0.0
秋毫无犯,0.0,1.0,0.0
显目,0.0,1.0,0.0
孛,1.0,1.0,0.0
脚踏实地,0.0,1.0,0.0
拜服,0.0,1.0,0.0
呼幺喝六,1.0,0.0,0.0
怨悔,1.0,0.0,0.0
失当,1.0,0.0,0.0
如鲠在喉,1.0,0.0,0.0
不济,1.0,0.0,0.0
槁木死灰,1.0,0.0,0.0
醋意大发,0.0,1.0,0.0
离索,1.0,0.0,0.0
清婉,0.0,1.0,0.0
矮,1.0,0.0,0.0
干干巴巴,1.0,0.0,0.0
无能为力,1.0,0.0,0.0
未便,1.0,0.0,0.0
幺麽,1.0,0.0,0.0
可统一,0.0,1.0,0.0
行得通,0.0,1.0,0.0
经济拮据,1.0,0.0,0.0
昭然若揭,0.0,1.0,0.0
胆小如鼠,1.0,0.0,0.0
痴愣,1.0,0.0,0.0
吝,1.0,0.0,0.0
风风光光,0.0,1.0,0.0
呵责,1.0,0.0,0.0
风流,1.0,1.0,0.0
飒爽,0.0,1.0,0.0
诶,1.0,0.0,0.0
懊恼,1.0,0.0,0.0
后顾之忧,1.0,0.0,0.0
秀拔,0.0,1.0,0.0
同等重要,0.0,1.0,0.0
黄色,1.0,0.0,0.0
鸦雀无声,0.0,1.0,0.0
心碎,1.0,0.0,0.0
背令,1.0,0.0,0.0
哭丧着脸,1.0,0.0,0.0
呆呆,1.0,0.0,0.0
背人,1.0,0.0,0.0
1254,1.0,0.0,0.0
工稳,0.0,1.0,0.0
借古讽今,1.0,0.0,0.0
饭桶,1.0,0.0,0.0
暴,1.0,0.0,0.0
雅正,0.0,1.0,0.0
劼,0.0,1.0,0.0
热,0.0,1.0,0.0
娴静,0.0,1.0,0.0
答礼,0.0,1.0,0.0
飘飘然,0.0,1.0,0.0
悄然,0.0,1.0,0.0
尊,0.0,1.0,0.0
雍和,0.0,1.0,0.0
危险,1.0,0.0,0.0
痴心不改,0.0,1.0,0.0
勉勉强强,1.0,0.0,0.0
着眼,0.0,1.0,0.0
不待见,1.0,0.0,0.0
费精神,1.0,0.0,0.0
鸣冤叫屈,1.0,0.0,0.0
安安稳稳,0.0,1.0,0.0
锃,0.0,1.0,0.0
跹,0.0,1.0,0.0
犒,0.0,1.0,0.0
推戴,0.0,1.0,0.0
复,1.0,0.0,0.0
不适应,1.0,0.0,0.0
琐碎,1.0,0.0,0.0
阴恶,1.0,0.0,0.0
任纵,1.0,0.0,0.0
猥劣,1.0,0.0,0.0
标致,0.0,1.0,0.0
幽娴,0.0,1.0,0.0
满不在乎,1.0,0.0,0.0
直性,0.0,1.0,0.0
有愧,1.0,0.0,0.0
深切,0.0,1.0,0.0
宽宏,0.0,1.0,0.0
寒酸,1.0,0.0,0.0
不着调,1.0,0.0,0.0
婷,0.0,1.0,0.0
低智,1.0,0.0,0.0
无表情,1.0,0.0,0.0
宽洪,0.0,1.0,0.0
吃力,1.0,0.0,0.0
祸从天降,1.0,0.0,0.0
困顿,1.0,0.0,0.0
森然,0.0,1.0,0.0
黝,1.0,0.0,0.0
一尘不染,0.0,1.0,0.0
惶惧,1.0,0.0,0.0
怏怏不乐,1.0,0.0,0.0
不苟言笑,0.0,1.0,0.0
不亢不卑,0.0,1.0,0.0
灭绝人性,1.0,0.0,0.0
看在,0.0,1.0,0.0
民怨沸腾,1.0,0.0,0.0
训练有素,0.0,1.0,0.0
照实,0.0,1.0,0.0
苍凉,1.0,0.0,0.0
妖,1.0,0.0,0.0
愚公移山,0.0,1.0,0.0
鼎鼎大名,0.0,1.0,0.0
皱巴巴,1.0,0.0,0.0
均一,0.0,1.0,0.0
圣洁,0.0,1.0,0.0
誓不两立,1.0,0.0,0.0
千娇百媚,0.0,1.0,0.0
封闭,1.0,0.0,0.0
愣怔怔,1.0,0.0,0.0
和风细雨,0.0,1.0,0.0
神不知，鬼不觉,1.0,0.0,0.0
流气,1.0,0.0,0.0
直心眼儿,0.0,1.0,0.0
向上倾斜,1.0,0.0,0.0
志在千里,0.0,1.0,0.0
古道热肠,0.0,1.0,0.0
笑里藏刀,1.0,0.0,0.0
里出外进,1.0,0.0,0.0
奉公守法,0.0,1.0,0.0
实施得力,0.0,1.0,0.0
顶尖,0.0,1.0,0.0
阴凄,1.0,0.0,0.0
懂行,0.0,1.0,0.0
小面额,0.0,1.0,0.0
铁,0.0,1.0,0.0
有根有据,0.0,1.0,0.0
卖不动,1.0,0.0,0.0
有眼力,0.0,1.0,0.0
哩溜歪斜,1.0,0.0,0.0
自疚,1.0,0.0,0.0
明火执仗,0.0,1.0,0.0
平整,0.0,1.0,0.0
有目共睹,0.0,1.0,0.0
入时,0.0,1.0,0.0
使用方便,0.0,1.0,0.0
毫厘不爽,0.0,1.0,0.0
一手遮天,1.0,0.0,0.0
宽畅,0.0,1.0,0.0
鼓舞人心,0.0,1.0,0.0
合当,0.0,1.0,0.0
一笔不苟,0.0,1.0,0.0
马虎,1.0,0.0,0.0
刁悍,1.0,0.0,0.0
神气十足,1.0,0.0,0.0
有求必应,0.0,1.0,0.0
合口,0.0,1.0,0.0
明显,0.0,1.0,1.0
崇拜,0.0,1.0,0.0
歪歪扭扭,1.0,0.0,0.0
狷急,1.0,0.0,0.0
天昏地暗,1.0,0.0,0.0
欲,0.0,1.0,0.0
忌恨,1.0,0.0,0.0
惨苦,1.0,0.0,0.0
嬉笑怒骂,1.0,0.0,0.0
令人发指,1.0,0.0,0.0
宽厚,0.0,1.0,0.0
糖味,0.0,1.0,0.0
残缺不全,1.0,0.0,0.0
惊惶,1.0,0.0,0.0
发愁,1.0,0.0,0.0
差点儿,1.0,0.0,0.0
伪造,1.0,0.0,0.0
花好月圆,0.0,1.0,0.0
恨不得,0.0,1.0,0.0
一口,0.0,1.0,0.0
隔靴搔痒,1.0,0.0,0.0
悔,1.0,0.0,0.0
娇,1.0,1.0,0.0
跪叩,0.0,1.0,0.0
抠,1.0,0.0,0.0
高精度,0.0,1.0,0.0
嘴尖,1.0,0.0,0.0
诟,1.0,0.0,0.0
当红,0.0,1.0,0.0
蒙蒙胧胧,1.0,0.0,0.0
平平安安,0.0,1.0,0.0
微言大义,0.0,1.0,0.0
轻佻,1.0,0.0,0.0
好心肠,0.0,1.0,0.0
拖沓,1.0,0.0,0.0
柔中有刚,0.0,1.0,0.0
非正统,1.0,0.0,0.0
令人恼火,1.0,0.0,0.0
确当,0.0,1.0,0.0
缥缈,1.0,0.0,0.0
婉,0.0,1.0,0.0
严,1.0,0.0,0.0
堂堂正正,0.0,1.0,0.0
无情,1.0,0.0,0.0
愤懑,1.0,0.0,0.0
憋闷,1.0,0.0,0.0
骂得狗血喷头,1.0,0.0,0.0
萧条,1.0,0.0,0.0
智,0.0,1.0,0.0
渴求,0.0,1.0,0.0
抱残守缺,1.0,0.0,0.0
灰色,1.0,0.0,0.0
一波三折,1.0,0.0,0.0
相中,0.0,1.0,0.0
万变不离其宗,0.0,1.0,0.0
大有益处,0.0,1.0,0.0
直截,0.0,1.0,0.0
呵叱,1.0,0.0,0.0
卫生,0.0,1.0,0.0
幽凄,0.0,1.0,0.0
不闻不问,1.0,0.0,0.0
灼亮,0.0,1.0,0.0
幼稚,1.0,0.0,0.0
一点颜色看看,1.0,0.0,0.0
愧,1.0,0.0,0.0
空前绝后,0.0,1.0,0.0
假冒,1.0,0.0,0.0
痛心,1.0,0.0,0.0
蕴藉,1.0,0.0,0.0
繁华,0.0,1.0,0.0
莺声燕语,0.0,1.0,0.0
目光如炬,0.0,1.0,0.0
腴,0.0,1.0,0.0
野心勃勃,0.0,1.0,0.0
金碧辉煌,0.0,1.0,0.0
完美,0.0,1.0,0.0
过,0.0,1.0,0.0
企盼,0.0,1.0,0.0
铺张,1.0,0.0,0.0
茫茫然,1.0,0.0,0.0
妒恨,0.0,1.0,0.0
洁净,0.0,1.0,0.0
超标,1.0,0.0,0.0
不得体,1.0,0.0,0.0
像话,0.0,1.0,0.0
浑然一体,0.0,1.0,0.0
柔滑,0.0,1.0,0.0
坦白,0.0,1.0,0.0
在行,0.0,1.0,0.0
基础性,0.0,1.0,0.0
站得住,0.0,1.0,0.0
据实,0.0,1.0,0.0
萋迷,1.0,0.0,0.0
利落,0.0,1.0,0.0
绝,1.0,0.0,0.0
迷人,0.0,1.0,0.0
坚韧,0.0,1.0,0.0
叱,1.0,0.0,0.0
没良心,1.0,0.0,0.0
严酷,1.0,0.0,0.0
寡味,1.0,0.0,0.0
愚昧无知,1.0,0.0,0.0
惊异,1.0,0.0,0.0
大而全,0.0,1.0,0.0
貌似强大,1.0,0.0,0.0
慕,0.0,1.0,0.0
愚陋,1.0,0.0,0.0
天经地义,0.0,1.0,0.0
无毒,0.0,1.0,0.0
深刻,0.0,1.0,0.0
绚丽多彩,0.0,1.0,0.0
璨然,0.0,1.0,0.0
过谦,0.0,1.0,0.0
踌躇不前,1.0,0.0,0.0
包涵,1.0,0.0,0.0
踟躇,1.0,0.0,0.0
危亡,1.0,0.0,0.0
先进,0.0,1.0,0.0
囊空如洗,1.0,0.0,0.0
无私,0.0,1.0,0.0
若隐若现,1.0,0.0,0.0
白痴般,1.0,0.0,0.0
花繁叶茂,0.0,1.0,0.0
犹豫,1.0,0.0,0.0
深远,0.0,1.0,0.0
胆敢,0.0,1.0,0.0
倾斜,1.0,1.0,0.0
置之脑后,1.0,0.0,0.0
秽,1.0,0.0,0.0
舒缓,0.0,1.0,0.0
不念旧恶,1.0,0.0,0.0
方便,0.0,1.0,0.0
硬性,1.0,0.0,0.0
博闻,0.0,1.0,0.0
没有头脑,1.0,0.0,0.0
低层,1.0,0.0,0.0
够格,0.0,1.0,0.0
臊,1.0,0.0,0.0
谅解,1.0,0.0,0.0
理屈词穷,1.0,0.0,0.0
开小差,1.0,0.0,0.0
神勇,0.0,1.0,0.0
动肝火,1.0,0.0,0.0
颓然,1.0,0.0,0.0
不真实,1.0,0.0,0.0
叠翠,0.0,1.0,0.0
鬼斧神工,0.0,1.0,0.0
有价值,0.0,1.0,0.0
下不了台,1.0,0.0,0.0
活便,0.0,1.0,0.0
无所不能,0.0,1.0,0.0
浓艳,0.0,1.0,0.0
仁至义尽,1.0,1.0,0.0
掬诚,0.0,1.0,0.0
经意,0.0,1.0,0.0
妒忌,0.0,1.0,0.0
不正直,1.0,0.0,0.0
亮亮堂堂,0.0,1.0,0.0
学有专长,0.0,1.0,0.0
平淡无味,1.0,0.0,0.0
亲热亲热,0.0,1.0,0.0
好用,0.0,1.0,0.0
宽,0.0,1.0,0.0
茂密,0.0,1.0,0.0
游刃有余,0.0,1.0,0.0
讲究,0.0,1.0,0.0
骄奢淫逸,1.0,0.0,0.0
有涵养,0.0,1.0,0.0
耐人寻味,0.0,1.0,0.0
和婉,0.0,1.0,0.0
硗薄,1.0,0.0,0.0
随风转舵,1.0,0.0,0.0
寡情,1.0,0.0,0.0
气度不凡,0.0,1.0,0.0
逗人,0.0,1.0,0.0
晶,0.0,1.0,0.0
高效能,0.0,1.0,0.0
负,1.0,0.0,0.0
封闭型,1.0,0.0,0.0
倚老卖老,1.0,0.0,0.0
可骇,1.0,0.0,0.0
敦敦实实,0.0,1.0,0.0
直捷,0.0,1.0,0.0
益,0.0,1.0,0.0
壮,0.0,1.0,0.0
准许,0.0,1.0,0.0
没有说的,0.0,1.0,0.0
褒奖,0.0,1.0,0.0
明智,0.0,1.0,0.0
惛,1.0,0.0,0.0
荒淫无度,1.0,0.0,0.0
精心,0.0,1.0,0.0
道地,0.0,1.0,0.0
洗练,0.0,1.0,0.0
不足挂齿,1.0,0.0,0.0
系,1.0,0.0,0.0
著称,0.0,1.0,0.0
玄之又玄,0.0,1.0,0.0
热心肠,0.0,1.0,0.0
忮,1.0,1.0,0.0
生动活泼,0.0,1.0,0.0
轻易,1.0,1.0,0.0
驾轻就熟,0.0,1.0,0.0
荩,0.0,1.0,0.0
管事儿,0.0,1.0,0.0
厌烦,1.0,0.0,0.0
绷脸,1.0,0.0,0.0
昭然,0.0,1.0,0.0
功不可没,0.0,1.0,0.0
落市,1.0,0.0,0.0
权变,0.0,1.0,0.0
抱恨终天,1.0,0.0,0.0
杲,0.0,1.0,0.0
不为人知,1.0,0.0,0.0
需要,0.0,1.0,0.0
兴旺,0.0,1.0,0.0
挢,0.0,1.0,0.0
谐和,0.0,1.0,0.0
充满危机,1.0,0.0,0.0
不容置疑,0.0,1.0,0.0
委罪,1.0,0.0,0.0
称赞,0.0,1.0,0.0
见所未见,0.0,1.0,0.0
宏大,0.0,1.0,0.0
妄,1.0,0.0,0.0
典型性,0.0,1.0,0.0
炯炯,0.0,1.0,0.0
含含糊糊,1.0,0.0,0.0
真,0.0,1.0,0.0
凄,1.0,0.0,0.0
紊乱,1.0,0.0,0.0
回味无穷,0.0,1.0,0.0
对味儿,0.0,1.0,0.0
迎来,0.0,1.0,0.0
石破天惊,0.0,1.0,0.0
匪夷所思,0.0,1.0,0.0
吃错药,1.0,0.0,0.0
有头脑,0.0,1.0,0.0
在困难中,1.0,0.0,0.0
猜嫌,1.0,0.0,0.0
系统,0.0,1.0,0.0
蔫儿坏,1.0,0.0,0.0
睦,0.0,1.0,0.0
凿空,1.0,0.0,0.0
吊祭,0.0,1.0,0.0
绘影绘声,0.0,1.0,0.0
放之四海而皆准,0.0,1.0,0.0
自由自在,0.0,1.0,0.0
鼎沸,1.0,0.0,0.0
险峻,1.0,0.0,0.0
殷勤,0.0,1.0,0.0
寒素,1.0,0.0,0.0
致谢,0.0,1.0,0.0
纯一,0.0,1.0,0.0
气狠狠,1.0,0.0,0.0
杀气腾腾,1.0,0.0,0.0
破烂不堪,1.0,0.0,0.0
埋没,1.0,0.0,0.0
爽直,0.0,1.0,0.0
心焦,1.0,0.0,0.0
朴拙,0.0,1.0,0.0
劳神,1.0,0.0,0.0
多义,1.0,0.0,0.0
疾,1.0,0.0,0.0
花拳绣腿,1.0,0.0,0.0
